№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,
427,"ЗОЛМИГРЕН® СПРЕЙ
(Zolmigren sprey)",zolmitriptan,"Спрей назальный дозированный 2,5 мг/доза, 5 мг/доза 2 мл (20 доз) (флаконы с дозирующей насадкой)",Украина,"Фармак, АО",Средство для лечения мигрени,N02CC03,DV/X 09502/11/21,30/11/21,,по рецепту,,
428,"ЗОЛМИГРЕН® СПРЕЙ
(Zolmigren sprey)",zolmitriptan,"Спрей назальный дозированный 2,5 мг/доза, 5 мг/доза 2 мл N20 доз (флаконы с дозирующей насадкой)",Украина,"Фармак, АО","Средство, применяемое при мигрени. Селективный агонист 5-НТ1 - рецепторов серотонина. Золмитриптан",N02CC03,DV/X 10611/04/24,18/04/24,,по рецепту,,
429,"ЗОЛОПЕНТ®
(Zolopent)",pantoprazole,"Таблетки, покрытые кишечнорастворимой оболочкой 40 мг N14 (1x14), N30 (3x10) (блистеры)",Украина,"Гледфарм Лтд, ООО произведено: Кусум Фарм, ООО",Противоязвенное средство,А02ВС02,DV/X 03182/06/17,16.06.17 16.08.22,,по рецепту,,
430,"ЗУММ- 25
(Zumm- 25)",dexketoprofen,Гранулы для приготовления раствора для приема внутрь 25 мг N10 (1x10) (пакетики),Грузия,"GM Pharmaceuticals, ООО","Противовоспалительный и противоревматический препарат. Противовоспалительный и противоревматический препарат, нестероидный. Пропионовой кислоты производное. Декскетопрофен",M01AE17,DV/X 05585/01/19,15.01.19 19.05.25,,без рецепта,,
431,"ЗУММ-25
(Zumm-25)",dexketoprofen,"Таблетки, покрытые пленочной оболочкой 25 мг N10 (блистеры)",Грузия,GM Pharmaceuticals Ltd,Нестероидное противовоспалительное средство,M01AE17,DV/X 09136/07/21,16/07/21,,по рецепту,,
432,"ИБУПРОФЕН- АКОС
(Ibuprofen-AKOS)",ibuprofen,"Таблетки, покрытые пленочной оболочкой 400 мг N20 (2х10) (упаковки контурные ячейковые)",Россия,"Синтез, ПАО",Нестероидное противовоспалительное средство,M01AE01,DV/X 08496/12/20,29/12/20,введены изменения: 18.11.24,по рецепту,,
433,"ИБУПРОФЕН Д
(Ibuprofen D)",ibuprofen,"Суспензия для приема внутрь 100 мг/5 мл 100 г N1 (флаконы в комплекте со стаканчиком дозирующим или со шприцем-дозатором), 200 мг/5 мл 100 г N1 (флаконы в комплекте с шприцем-дозатором)",Беларусь,"Фармтехнология, ООО",Нестероидное противовоспалительное средство,M01AE01,DV/X 09440/11/21,30/11/21,введены изменения: 25.07.25,по рецепту,,
434,"ИБУПРОФЕН
(Ibuprofen)",ibuprofen,"Таблетки, покрытые пленочной оболочкой 200 мг N50 (5x10) (упаковки контурные ячейковые)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Нестероидное противовоспалительное и противоревматическое средство,М01АЕ01,DV/X 03528/09/17,08.09.17 16.08.22,введены изменения: 20.12.24,по рецепту,,
435,"ИБУПРОФЕН-БЕЛМЕД
(Ibuprofen-Belmed)",ibuprofen,"Таблетки, покрытые пленочной оболочкой, 200 мг N50 (5х10) (упаковки контурные ячейковые), N1500 (150х10) (упаковки контурные ячейковые для стационаров)",Беларусь,"Белмедпрепараты, РУП",Нестероидное противовоспалительное средство,M01AE01,DV/X 03760/11/17,21.11.17 12.03.24,,без рецепта,,
436,"ИДРИНОЛ
(Idrinol)",meldonium,"Раствор для внутривенного, внутримышечного и парабульбарного введения 100 мг/мл 5 мл N5, N10 (ампулы)",Россия,"Сотекс ФармФирма, ЗАО",Средство для коррекции метаболических процессов,С01ЕВ,DV/X 03019/05/17,19.05.17 30.11.21,,по рецепту,,
437,"ИЗОНИАЗИД
(Isoniazid)",isoniazid,Таблетки 200 мг N50 (5x10) (блистеры),Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Противотуберкулёзное средство,J04AC01,DV/X 02728/02/17,17.02.17 13.05.22,,по рецепту,,
438,"ИЗОНИАЗИД
(Izoniazid)",isoniazid,Сироп 100 мг/5 мл 200 мл (флаконы полимерные),Украина,"Юрия-Фарм, ООО",Противомикробные препараты системного действия. Препараты активные в отношении микобактерий. Изониазид,J04AС01,DV/X 05029/09/18,30/05/25,,по рецепту,,
439,"ИМИПЕНЕМ+ЦИЛАСТАТИН-SANTO
(Imipenem+Silastatin-SANTO)",comb.drug (imipenem; cilastatin),Порошок для приготовления раствора для внутривенного введения 500 мг+500 мг N1 (флаконы),Казахстан,"Химфарм, АО",Антибиотик (гр.карбапенемов),J01DH51,DV/X 09714/03/22,29/03/22,,по рецепту,,
440,"Имицинем-ТФ
(Imitsinem-TF)",imipenem; cilastatin,Порошок для приготовления концентрата для приготовления раствора для инфузий 500 мг/ 500 мг N5 (1x5) (флаконы),Беларусь,"ТрайплФарм, СООО",Противомикробные препараты системного действия. Антибактериальные средства си-стемного действия. Карбапенемы,J01DH51,DV/X 05061/09/18,21.09.18 01.07.25,,по рецепту,,
441,"ИММУНОГЛОБУЛИН ЧЕЛОВЕКА НОРМАЛЬНЫЙ
(Human immunoglobulin)",immunoglobulin,"Раствор для внутримышечного введения 1,5 мл N10 (ампулы)",Россия,"Микроген, НПО, АО",Иммуноглобулин,J06BA01,DV/X 09692/03/22,04/03/22,,по рецепту,,
442,"ИММУНОГЛОБУЛИН ЧЕЛОВЕКА НОРМАЛЬНЫЙ
(Human immunoglobulin)",immunoglobulin human normal,"Раствор для внутримышечного введения 100 мг/мл 1,5 мл N10 (ампулы)",Россия,"Микроген, НПО, АО филиал г.Томск",Иммуноглобулин,J06BA01,DV/X 02838/04/17,11.04.17 29.03.22,,по рецепту,,
443,"ИММУНОКТА®
(Immunokta)",inosine pranobex*,"Таблетки 500 мг N20 (2х10) (стрипы), N30 (3х10) (блистеры)",Беларусь,"Виокта, ООО, Россия произведено: Фармтехнология, ООО",Противовирусное средство,J05AX05,DV/X 01996/08/16,05.08.16 16.07.21,введены изменения: 16.03.23,по рецепту,,
444,"ИММУНОМАКС
(Immunomax)",peptidoglykan acidic from potato sprouts,Лиофилизат для приготовления раствора для внутримышечного введения 200 ЕД N3 (флаконы),Россия,"Авексима, ОАО, Россия произведено: Иммафарма, ООО",Иммуномодулирующee средствo,L03,DV/X 02671/02/17,17.02.17 29.03.22,,по рецепту,,
445,"ИМПАЗА
(Impaza)",affinity purified antibodies to endothelial NO synthase,Таблетки для рассасывания гомеопатические N20 (1x20) (упаковки контурные ячейковые),Россия,"Материа Медика Холдинг, НПФ, ООО",Средство для коррекции потенции,G04BE,DV/X 01154/12/15,11.12.15 29.12.20,,по рецепту,,
446,"ИМУДОН®
(Imudon)",imudon,"Таблетки для рассасывания N24 (3x8), N40 (5x8) (блистеры)",Россия,"ФармСтандарт-Томскхимфарм, ОАО",Иммуностимулирующее средство,L03AX,DV/X 02498/12/16,02.12.16 23.12.21,,по рецепту,,
447,"ИНБУТОЛ
(Inbutol)",ethambutol,"Концентрат для раствора для инфузий 100 мг/мл 10 мл, 20 мл (флаконы)",Украина,"Юрия-Фарм, ООО",Противотуберкулезное средство,J04AK02,DV/X 04746/07/18,24.07.18 07.08.24,,по рецепту,,
448,"ИНГАВИРИН®
(Ingavirin)",imidazolyl ethanamide pentandioic acid*,"Капсулы 60 мг N7 (1х7), N10 (1х10) (упаковки контурные ячейковые)",Россия,"Валента Фарм, АО",Противовирусное средство,J05AX,DV/X 01997/08/16,05.08.16 15.06.21,,без рецепта,,
449,"ИНГАВИРИН®
(Ingavirin)",Pentanedioic acid imidazolyl ethanamide*,"Капсулы 90 мг N7 (1x7), N10 (1x10) (упаковки контурные ячейковые)",Россия,"Валента Фарм, АО",Противовирусное средство. Противовоспалительное средство,J05AX,DV/X 05631/01/19,15.01.19 31.10.24,,без рецепта,,
