№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,,
446,"АРНИКАМЕД ДОЛОР ГЕЛЬ
(Arnikamed Dolor Gel)",arnica montana,"Гель для наружного применения 50 г, 100 г (тубы)",Германия,Dr.Theiss Naturwaren GmbH,Противовоспалительное средство местного действия,M02AX10,DV/X 09903/06/22,16/06/22,,без рецепта,,,
2236,МУКОПЛАНТ СИРОП ОТ КАШЛЯ С ПЛЮЩОМ,hedera helix,"Сироп 100 мл, 250 мл (флаконы с мерным стаканчиком)",Германия,Dr.Theiss Naturwaren GmbH,Отхаркивающее средство,R05C,DV/X 09904/06/22,16/06/22,,без рецепта,,,
2237,"МУКОПЛАНТ СИРОП ОТ КАШЛЯ С ПОДОРОЖНИКОМ
(Mukoplant)",ribwort plantain fluid extract,"Сироп 100 мл, 250 мл (флаконы с мерным стаканчиком)",Германия,Dr.Theiss Naturwaren GmbH,Отхаркивающее средство,R05CA,DV/X 09614/02/22,14/02/22,,без рецепта,,,
1241,"ЗЕРАЛГО™
(ZERALGO™)",flurbiprofen,"Таблетки, покрытые пленочной оболочкой 100 мг №15 (1x15) (блистеры)",Турция,Drogsan Ilaclari San. ve Tic A.S.,Костно-мышечная система. Противовоспалительные и противоревматические препараты. Нестероидные противовоспалительные и противоревматические препараты. Производные пропионовой кислоты. Флурбипрофен.,M01AE09,DV/X 00104/02/15,27.02.15 28.11.25,,по рецепту,,,
2129,"МЕФЛОЦИД™
(MEFLOTSID)",levofloxacin,"Таблетки покрытые пленочной оболочкой 500 мг, 750 мг №7(1x7) (блистеры)",Турция,Drogsan Ilaclari San. ve Tic A.S.,Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Антибактериальные препараты производные хинолона. Фторхинолоны. Левофлоксацин.,J01MA12,DV/X 00153/03/15,27.03.15 28.11.25,,по рецепту,,,
1553,"КЕТОСИД
(Ketosid)","comb.drug (Dexketoprofen trometamol, Thiocolchicoside)","Таблетки 25 мг/4 мг N20 (2х10), 25 мг/8 мг N14 (1х14) (блистеры)",Турция,Drogsan Ilaclari San. ve Tic. A.Ş.,Миорелаксант центрального действия. Тиоколхикозид в комбинации с другими препаратами,M03BX55,DV/X 09329/10/21,11/10/21,,по рецепту,,,
1948,"ЛОРОБЕН™
(LOROBEN™)",chlorhexidine; benzydamine,Оральный спрей 30 мл (флаконы с аппликатором),Турция,Drogsan Ilaclari San. ve Tic. A.Ş.,"Пищеварительный тракт и обмен веществ. Препараты, применяемые в стоматологии. Другие препараты для местного лечения заболеваний полости рта.",A01AD11,DV/X 05282/11/18,02.11.18 01.07.25,,без рецепта,,,
3514,"ФАКСИМИН
(Faksimin/Faximin)",rifaximin,"Таблетки, покрытые пленочной оболочкой 200 мг N12 (1x12) (блистеры)",Турция,Drogsan Ilaclari San. ve Tic. A.Ş.,Антибиотик (гр.ансамицина),A07AA11,DV/X 05239/11/18,02.11.18 07.08.24,,по рецепту,,,
3646,"ФЛУТИНЕКС™
(Flutineks™)",fluticazon,"Спрей назальный 500 мкг/доза 120 доз 14,5 доза (флаконы с распылительным устройством)",Турция,Drogsan Ilaclari San. ve Tic. A.Ş.,Глюкокортикоид,R01AD08,DV/X 03926/01/18,15.01.18 08.02.24,,по рецепту,,,
973,"ГРИПХОТ™
(Gripxot)",comb.drug (paracetamol; phenylephrine hydrochloride; chlorpheniramine*maleat; oxolamine citrate),Гранулы шипучие N12 (пакетики),Турция,Drogsan Ilaçlari San. ve Tic. A.Ş.,Анальгетик-антипиретик,N02BE51,DV/X 03487/08/17,18.08.17 16.08.22,,без рецепта,,,
2758,"ПУЛМОКСОЛ™
(Pulmoksol)",ambroxol,"Сироп педиатрический 15 мг/5 мл, 30 мг/5 мл 150 мл (флаконы в комплекте с мерным колпачком)",Турция,Drogsan Ilaçlari San. ve Tic. A.Ş.,Отхаркивающее средство,R05CB06,DV/X 03521/09/17,08.09.17 16.08.22,,без рецепта,,,
576,"БИКАРБОНОРМ ™
(Bikarbonorm™)",sodium bicarbonate,Таблетки гастрорезистентные 1000 мг N50 (5x10) (блистеры),Турция,Drogsan Ilaclari San. ve Tic. А.Ş.,Противоязвенное средство (антацид),A02X,DV/X 10555/08/23,11/08/23,,по рецепту,,,
1949,"ЛОРОБЕН™
(Loroben™)",chlorhexidine; benzydamin,Раствор для полоскания 200 мл (флаконы с мерным стаканчиком),Турция,Drogsan Ilaçlari San.ve Tic. A.Ş.,Прочий препарат для лечения заболеваний полости рта,A01AD11,DV/X 05283/11/18,02.11.18 31.01.25,,без рецепта,,,
1193,"ДУОЦЕФ
(Duosef)",comb.drug (ceftriaxone; sulbactam),Порошок для приготовления раствора для инъекций 1000 мг + 500 мг N1 (флаконы) в комплекте с растворителем - вода для инъекций 10 мл N1 (ампулы) или без растворителя,Индия,East African (India) Overseas,Антибиотик (гр.цефалоспоринов),J01DA63,DV/X 01495/03/16,18.03.16 25.05.21,введены изменения: 14.10.22,по рецепту,,,
1550,"КЕТОРИВ
(Ketoriv)",ketorolac,Раствор для инъекций 30 мг/мл 1 мл N5 (ампулы),Индия,East African (India) Overseas,Нестероидное противовоспалительное средство,М01АВ15,DV/X 01494/03/16,18.03.16 16.07.21,,по рецепту,,,
1856,"ЛЕЦИКАР
(Letsikar)",comb.drug (lysine hydrochloride; L- carnitine- L- tartrate; nicotinamide; riboflavin; cyanocobalamin; pyridoxine hydrochloride; thiamine hydrochloride; zinc sulphate monohydrate),Капсулы N30 (3х10) (блистеры),Индия,East African (India) Overseas,Средство для коррекции метаболических процессов,A11EC,DV/X 09345/10/21,11/10/21,,по рецепту,,,
1885,"ЛИКОРИВ ФОРТЕ
(Likoriv Forte)","comb.drug (lycopene; tocopherol acetate*; zinc; thiamine hydrochloride; riboflavin sodium phosphate; pyridoxine hydrochloride; manganese; sodium ascorbate; Пентагидрат сульфата меди, selenium; iodine)",Сироп 225 мл (флаконы),Индия,East African (India) Overseas,Витамины и минералы,A11AA,DV/X 08480/11/20,19/11/20,,без рецепта,,,
2389,"НОВОГАММА
(Novogamma)","comb.drug (thiamine; riboflavin, pyridoxine; nicotinamide; pantenol)",Раствор для инъекций 2 мл N5 (ампулы),Индия,East African (India) Overseas,Витамины,А11ЕА,DV/X 02423/11/16,18.11.16 05.11.21,введены изменения: 03.03.23,по рецепту,,,
2390,"НОВОКВИК KIDS
(Novokvik KIDS)",comb.drug (lactobacillius; saccharomyces),Порошок для приготовления суспензии для приема внутрь 3 г/30 мл (флаконы),Индия,East African (India) Overseas,Пробиотик,A07FA90,DV/X 08856/04/21,09/04/21,,по рецепту,,,
2391,"НОВОКВИК
(Novokvik)",comb.drug (lactobacillius; saccharomyces),Капсулы N10 (1х10) (блистеры),Индия,East African (India) Overseas,Пробиотик,A07FA90,DV/X 09266/08/21,18/08/21,,без рецепта,,,
3110,"СОЛОЦИН
(Solotsin)",levofloxacin,Раствор для внутривенных инфузий 500 мг/100 мл 100 мл флаконы,Индия,East African (India) Overseas,Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA12,DV/X 01883/07/16,08.07.16 09.04.21,введены изменения: 14.10.22,по рецепту,,,
3398,"ТРАКС
(Traks)",tranexamic acid,Раствор для инъекций 100 мг/мл 5 мл N5 (ампулы),Индия,East African (India) Overseas,Антикоагулянт,М01АС02,DV/X 02310/10/16,21.10.16 29.03.22,введены изменения: 30.11.22,по рецепту,,,
3600,"ФЕРТЕК
(Fertek)",ferrous (III) hydroxide sucrose complex*,Раствор для инъекций 100 мг/5 мл 5 мл N5 (ампулы),Индия,East African (India) Overseas,"Средство, стимулирующее эритропоэз",В03АС02,DV/X 01496/03/16,18.03.16 09.04.21,введены изменения: 27.04.23,по рецепту,,,
1857,"ЛЕЦИП ФОРТЕ
(Letsip Forte/Lecyp Forte)",comb.drug (lysine; levocarnitine; nicotinamide; pyridoxine; riboflavin; thiamine; cyanocobalamin; cyproheptadine),Сироп 200 мл (флаконы),Индия,East African (India) Overseas Pvt. Ltd,Витамин. Другой витаминный препарат,A11HA01,DV/X 03626/11/17,15.11.17 31.01.25,,без рецепта,,,
1011,"ДЕКЛОРИВ
(Dekloriv)",diclofenac,Раствор для инъекций 75 мг/1 мл 1 мл N5 (ампулы),Индия,"East African (India) Overseas, Индия произведено: Volpo Lifesciences Pvt. Ltd",Нестероидное противовоспалительное средство,M01AB05,DV/X 09657/02/22,14/02/22,,по рецепту,,,
1742,"ЛАЗМИН
(Lazmin)","comb.drug (L-alanine; L-arginine; L-aspartic acid; L-valine, L-histidine; L-glycine; L-glutamic acid; L-isoleucine, L-leucine; L-lysine; L-methionine; L-proline; L-serine; L-tyrosine; L-threonine; L-tryptophan; L-phenylalanine; L-cystine; sorbitol)",Раствор для инфузий по 250 мл N1 (флаконы),Китай,"East Bridge LLC, США произведено: Hubei Changlian Donovo Pharmaceutical Co. Ltd","Препарат для парентерального питания, аминокислоты",B05BA01,DV/X 10411/05/23,18/05/23,,по рецепту,,,
2,"5-ФТОРУРАЦИЛ-ЭБЕВЕ®
(5-Ftoruratsil-Ebeve)",fluorouracil,"Концентрат для приготовления раствора для инфузий 50 мг/мл 250 мг/5 мл, 500 мг/10 мл, 1000 мг/20 мл, 5000 мг/100 мл, N1 (флаконы)",Австрия,"Ebewe Pharma Ges.m.b.H. Nfg. KG, Австрия произведено: Fareva Unterach GmbH",Противоопухолевое средство,L01ВС02,DV/X 03682/11/17,15.11.17 28.10.22,,по рецепту,,,
