№ п.п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска
405,"БАЗОЛ
(Bazol)",arginine hydrochloride*,"Раствор для инфузий 4,2% 100 мл (флаконы, бутылки)",Узбекистан,"Radiks, OOO","Препарат для парентерального питания, аминокислоты",B05XB01,DV/M 01474/04/17,21.04.17 13.04.22,,по рецепту
406,"БАКДИАР
(Bakdiar)",nifuroxazide,"Суспензия для приёма внутрь 220 мг/5 мл 5 мл N10, N20, N30, N40, N50 (юнидозы)",Узбекистан,"Jurabek Laboratories, СП ООО",Антибактериальное синтетическое средство (гр.нитрофурана),A07AX03,DV/M 03685/02/21,02/02/21,,без рецепта
407,"БАКСИЛОН
(Baksilon)",aprotinin,Порошок лиофилизированный для приготовления раствора для инъекций 10000 АТрЕ N5 (1x5) (ампулы) в комплекте с растворителем-раствор Натрия хлорид-RG 0/9% 2 мл N5 (1x5) (ампулы) или без растворителем,Узбекистан,"Remedy Group, СП ООО",Кровь и система кроветворения. Гемостатическое средство. Антифибринолитическое средство. Ингибитор протеиназ плазмы. Апротинин,B02AB01,DV/M 04944/05/25,19/05/25,,по рецепту
408,"БАКСТОП
(Bakstop)",levofloxacin,Раствор для инфузий 5 мг/мл 100 мл (флаконы полипропиленовые),Узбекистан,"Radiks, OOO",Противомикробный препарат системного действия. Антибактериальный препарат системного действия. Антибактериальный препарат производное хинолона. Фторхинолон. Левофлоксацин,J01MA12,DV/M 04772/01/25,31/01/25,,по рецепту
409,"БАКТЕРИОФАГ CАЛЬМОНЕЛЛЁЗНЫЙ ПОЛИВАЛЕНТНЫЙ ""mediPHAG""
(Salmonella polivalent bakteriofagi ""mediPHAG"")",bacteriophage salmonella polyvalent*,"Капсулы для приема внутрь N4 (1х4), N8 (1х8), N10 (1х10), N20 (2х10) (упаковки контурные ячейковые)",Узбекистан,"Aziya Immunopreparat, ООО",Бактериофаг,V03А,DV/M 02783/10/19,10.10.19 31.01.25,,без рецепта
410,"БАКТЕРИОФАГ ДИЗЕНТЕРИЙНЫЙ ПОЛИВАЛЕНТНЫЙ ""MediPHAG""
(Dizenteriya Polivalent Bakteriofagi ""mediPHAG"")",bacteriophage dysentericum polivalent*,"Капсулы для приема внутрь N4 (1х4), N8 (1х8), N10 (1х10), N20 (2х10) (блистеры)",Узбекистан,"Aziya Immunopreparat, OOO",Другое лечебное средство,V03A,DV/M 04904/03/25,28/03/25,,по рецепту
411,"БАКТЕРИОФАГ САЛЬМОНЕЛЛЁЗНЫЙ ПОЛИВАЛЕНТНЫЙ ""MediPHAG""
(Salmonella polivalent bakteriofagi ""mediPHAG"")",bacteriophage salmonella polyvalent*,"Жидкость для приема внутрь и ректального введения 10 мл 5 (5х1), 20 мл 4 (4х1) (флаконы); 100 мл N1 (1х1) (флаконы)",Узбекистан,"Aziya Immunopreparat, ООО",Бактериофаг,V03А,DV/M 02782/10/19,10.10.19 17.01.25,введены изменения: 05.04.25,без рецепта
412,"БАКТЕРИОФАГ СТАФИЛАКОККОВЫЙ ЖИДКИЙ MEDIPHAG
(Bacteriophagum staphylococci fluidum mediPhag)",bacteriophagum staphylococci fluidum,"Жидкость для приёма внутрь, местного и наружного применения 10 мл N5, 20 мл N4, 100 мл N1 (флаконы)",Узбекистан,"Aziya Immunopreparat, ООО",Бактериофаг,,DV/M 01057/10/16,04.10.16 11.10.21,,без рецепта
413,"БАКТЕРИОФАГ СТАФИЛАКОККОВЫЙ ЖИДКИЙ MEDIPHAG
(Bacteriophagum staphylococci fluidum mediPhag)",bacteriophagum staphylococci fluidum,Спрей для местного и наружного применения 20 мл (флаконы с дозаторами),Узбекистан,"Aziya Immunopreparat, ООО",Бактериофаг,,DV/M 01057/10/16/1,04.10.16 11.10.21,,без рецепта
414,"БАКТОМИЦИН
(Baktomitsin)",amikacin,"Раствор для инъекций 100 мг/2 мл, 500 мг/2 мл 2 мл N1 (ампулы)",Узбекистан,"Aviceo Group, СП ООО для Citco Chemicals Ltd, Англия",Антибиотик (гр.аминогликозидов),J01GB06,DV/M 04387/04/23,27/04/23,,по рецепту
415,"БАЛИЗЕС
(Balizes)",lysine; aescine*,"Концентрат для приготовления инфузионного раствора 1 мг/мл 5 мл N10 (5x2), N5 (5x1) (ампулы)",Узбекистан,"Bayan Medical, ООО",Ангиопротекторное средство,С05СХ,DV/M 04687/08/24,27/08/24,введены изменения: 19.09.25,по рецепту
416,"БАЛЦЕТ
(Balset)",comb.drug (cefoperazone; sulbactam),"Порошок для приготовления инъекционного раствора 1,0 г (0,5 г+0,5 г); 2,0 г (1,0 г+1,0 г) N1, N50, N60 (флаконы), N300 (6х50), N360 (6х60) (коробки)",Узбекистан,"Radiks, OOO",Антибиотик (гр.цефалоспоринов),J01DD62,DV/M 03971/11/21,30/11/21,,по рецепту
417,"БАРАЛГЕН С.Т.
(Baralgen S.T)",comb.drug (metamizole sodium; pitofenone hydrochloride; fenpiverine bromide),Раствор для иньекций 5 мл N5 (ампулы),Узбекистан,"Samsun-Tashkent Farm Ltd, СП ООО",Спазмолитическое средство,N02BB52,DV/M 01680/07/17,21.07.17 29.06.22,,по рецепту
418,"БАРАЛГИН
(Baralgin)",comb.drug (metamizole sodium; pitofenone hydrochloride; fenpiverinium bromide),"Раствор для инъекций 5 мл N5, N10, N25 (ампулы)",Узбекистан,"Uzgermed Pharm, СП ООО","Метамизол натрия в комбинации с другими препаратами, исключая психолептики",N02BB52,DV/M 02378/12/18,07.12.18 18.04.24,,по рецепту
419,"БАРАСПАН
(Baraspan)",metamizole sodium; pitofenone; fenpiverinium bromide,"Раствор для инъекций 5 мл №5 (1x5), №10 (2x5) (ампулы cтеклянные)",Узбекистан,"Jurabek Laboratories, СП ООО",Нервная система. Анальгетики. Пиразолоны. Метамизол натрия. Питофенона гидрохлорид. Фенпивериния бромид,N02BB52,DV/M 03318/06/20,30.06.20 19.09.25,,по рецепту
420,"БАТОРА
(Batora)",arginine,Раствор для инфузий 42 мг/мл 100 мл (флаконы),Узбекистан,"Samarkand England Eco-Medical, СП ООО",Кровь и система кроветворения. Кровезаменитель и перфузионный раствор. Добавка к растворам для внутривенного введения. Аминокислота. Аргинина гидрохлорид,В05ХВ01,DV/M 04865/03/25,07/03/25,введены изменения: 28.11.25,по рецепту
421,"БЕЛАСКОР® 2,5 БЕЛАСКОР® 5
(BELASKOR® 2,5 BELASKOR® 5)",bisoprolol,"Таблетки, покрытые плёночной оболочкой 2,5 мг, 5 мг №30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Nobel-Pharmsanoat, ИП OOO",Сердечно-сосудистая система. Бета-адреноблокаторы. Селективные бета-адреноблокаторы. Бисопролол,C07AB07,DV/M 03549/10/20,09.10.20 15.10.25,,по рецепту
422,"БЕЛАСКОР® 2,5 БЕЛАСКОР® 5
(BELASKOR® 2,5 BELASKOR® 5)",bisoprolol,"Таблетки, покрытые плёночной оболочкой 2,5 мг, 5 мг №30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Nobel Pharmsanoat, ИП OOO",Сердечно-сосудистая система. Бета-адреноблокаторы. Селективные бета-адреноблокаторы. Бисопролол,C07AB07,DV/M 03549/10/20,09.10.20 15.10.25,,по рецепту
423,"БЕЛЕВА
(Beleva)",comb.drug (sorbitol; sodium lactate; sodium chloride; calcium chloride; potassium chloride; magnesium chloride),"Раствор для инфузий 100 мл, 250 мл (флаконы полипропиленовые)",Узбекистан,"River Med Pharm, OOO","Кровезаменитель и перфузионный раствор. Раствор для внутривенного введения. Раствор, влияющий на водно-электролитный баланс. Электролит в комбинации с другими препаратами",В05ВВ04,DV/M 04776/01/25,31/01/25,введены изменения: 01.03.25,по рецепту
424,"БЕЛКОСЕР ГЕПА
(Belkoser Gepa)","comb.drug (L-proline, L-alanine; L-serine; glycine, L-histidine; L-arginine, L-valine; L-tryptophan; L-threonine, L-phenylalanine; L-methionine; L-lysine acetate; L-leucine, L-Isoleucine, L-acetyltsistein)",Раствор для инфузий 100 мл (флаконы),Узбекистан,"Serene Healthcare, ИП ООО","Препарат для парентерального питания, аминокислоты",В05ВА01,DV/M 03651/02/21,02/02/21,введены изменения: 29.03.22,по рецепту
425,"БЕЛКОСЕР
(Belkoser)","comb.drug (L-proline; L-alanine; L-serine; glycine; L-histidine; L-arginine; L-valine; L-tryptophan; L-threonine, L-phenylalanine; L-methionine; L-cystine; L-leucine, L-Isoleucine; sorbitol; L-tyrosine; L-aspartic acid; L-glutamic acid; L-lysine hydrochloride)","Раствор для инфузий 100 мл, 200 мл, 250 мл, 500 мл (бутылки)",Узбекистан,"Serene Healthcare, ИП ООО","Препарат для парентерального питания, аминокислоты",В05ВА01,DV/M 03652/02/21,02/02/21,введены изменения: 29.03.22,по рецепту
426,"БЕНДАЛ
(Bendal)",albendazole,"Суспензия 400 мг/10 мл, 10 мл (флаконы в комплекте с мерной ложкой или стаканчиком или без них)",Узбекистан,"Remedy Group, СП ООО для Zefer Pharma Ltd, Великобритания",Антигельминтное средство,P02CA03,DV/M 01103/10/16,21.10.16 11.10.21,введены изменения: 21.12.22,по рецепту
427,"БЕНДАЛ
(Bendal)",albendazole,"Таблетки, покрытые оболочкой 200 мг N2 (1x2), 400 мг N1 (1x1) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО для Zefer Pharma Ltd, Великобритания",Антигельминтное средство,P02CA03,DV/M 01103/10/16,21.10.16 11.10.21,введены изменения: 21.12.22,по рецепту
